id,title,release_date,vote_average,popularity
7555,Rambo,2008-01-24,6.689,6.9005
1205021,Rambo,2025-01-01,0.0,2.9659
849210,Rambo,2012-09-07,3.5,2.8377
1170841,Seeking Haven for Mr. Rambo,2025-01-01,7.071,2.3517
612866,Behind Natacha Rambova's Shadow,2019-07-06,5.0,0.8041
699406,"O Rambo, o Kontos kai i Tapa!",1986-01-01,0.0,1.053
1433133,Rambo,2025-10-10,0.0,1.6829
349964,Yeong-Gu And Daeng-Chil 3 - Yeong-Gu Rambo,1990-07-28,2.0,1.3369
587120,Arthur Rambo,2018-01-01,0.0,0.0689
1370,Rambo III,1988-05-24,6.195,5.9942
522938,Rambo: Last Blood,2019-09-18,6.533,6.8904
1369,Rambo: First Blood Part II,1985-05-21,6.651,6.149
187110,Lady Ramboh,1991-01-01,4.0,1.3177
547428,Abdo Challenges Rambo,1990-06-13,7.0,0.0577
470204,"Remo, Rambo, Reagan and Reds: The Eighties Action Movie Explosion",2014-07-07,8.0,0.0803
660334,Arthur Rambo,2022-02-02,6.0,11.2565
758526,How We Cut Up and Flipped Rambo,1988-01-01,0.0,0.0261
1101663,Rambo,2022-12-30,0.0,0.0
13258,Son of Rambow,2007-01-22,6.7,3.8757
278249,Pudelmützen Rambos,2004-01-02,2.0,4.6191
157336,Interstellar,2014-11-05,8.463,37.1433
287954,Lolita from Interstellar Space,2014-03-08,4.967,8.3095
649745,Interstellar Wandering,2019-08-02,2.0,0.7597
301959,Interstellar: Nolan's Odyssey,2014-11-05,7.7,1.0514
398188,Interstellar Wars,2016-06-09,3.0,5.8151
460616,Interstellar Civil War: Shadows of the Empire,2018-04-15,3.5,3.2999
529107,Inside 'Interstellar',2015-03-31,6.9,1.829
336592,The Science of Interstellar,2014-11-13,6.838,1.0118
660698,Faster Than Light: the Dream of Interstellar Flight,2017-06-07,6.4,0.3391
1391726,Interstellar Stella,2006-12-11,0.0,0.0071
986255,How to Colonize the Stars: The Challenge of Interstellar Flight,2009-06-09,10.0,0.0143
1282990,Interstellar Interference,2023-04-22,0.0,0.0214
552531,The Prom Goer's Interstellar Excursion,,0.0,0.0261
716603,Only Interstellar Pinball Lives Forever,2010-06-28,7.0,0.0071
1443305,Container Interstellar,,7.5,0.0239
1501040,The Future is Now: A Look Back at Interstellar,2024-12-10,0.0,0.0071
763179,Cosmic Journey: The Voyager Interstellar Mission and Message,2003-01-16,2.5,0.0143
1450827,Interstellar Political Prisoner,2016-09-25,0.0,0.0261
1573960,Shouting at Stars: A History of Interstellar Messages,2025-10-31,0.0,0.0214
436305,The Farthest,2018-03-15,7.795,11.0813
27205,Inception,2010-07-15,8.4,24.327
613092,The Crack: Inception,2019-10-04,6.7,3.0796
1370380,"Syndrome Halla, the Inception of Croatian Professional Film – Born to Die",2017-01-01,0.0,0.3612
250845,WWA The Inception,2001-10-26,3.1,1.6063
1359046,Inception,1980-01-23,0.0,0.0753
350632,The Inception of Dramatic Representation,,5.8,0.0071
1524492,The Inception of Seeking,2025-05-17,0.0,0.0143
542438,Bikini Inception,2015-05-19,4.0,2.0142
64956,Inception: The Cobol Job,2010-12-07,7.3,0.761
973484,Inception: Music from the Motion Picture,2010-12-07,6.0,0.0684
1359,American Psycho,2000-04-13,7.408,7.7501
1249693,American Psycho,,0.0,5.8199
760953,American Psychopath,2018-09-21,2.833,3.0915
10726,American Psycho II: All American Girl,2002-06-18,4.492,7.0198
201090,American Psycho Tour Documentary,2012-07-26,7.0,0.0794
1249761,American Psycho: From Book to Screen,2005-06-21,0.0,2.0431
621817,American Psycho with Huey Lewis and Weird Al,2013-04-03,6.0,2.4612
1484783,American Psychopath,2025-03-14,5.75,2.0199
483149,American Psychosis,2017-02-23,0.0,0.3598
1413323,African American Psycho: The Hip Hop Freak,2024-11-05,0.0,0.174
876663,"Killer, Trader and Psychopath: The America of Bret Easton Ellis",2021-09-15,6.0,0.933
645444,Psycho BFF,2019-10-17,7.1,0.5522
